input_wavelength,intensity,bandwidth,gain,integrationtime,UVA,UVB,UVC,temp,AccX,AccY,AccZ,GYRO_X,GYRO_Y,GYRO_Z,input1,input2,day,month,year,hour,minute,second,VISgain,VISintegrationtime,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,c_CH1,c_CH2,c_CH3,c_CH4,c_CH5,c_CH6,c_CH7,c_CH8,c_CH9,c_CH10,c_CH11,c_CH12,c_CH13,c_CH14,c_CH15,c_CH16,c_CH17,c_CH18,temp1,temp2,temp3,Label,uiI2CReadError,uiI2CWriteError,uiStatus1,uiStatus2,Label.1,uiI2CReadError.1,uiI2CWriteError.1,Label.2,uiI2CError,uiI2CReadDetailError,uiI2CWriteDetailError
490,30,5,1,4096,1,1,1,26.1,-1.03,-0.04,-0.18,0.7,-0.1,0.4,0,0,16,7,2024,17,55,9,3,255,19,34,66,2052,967,68,80,38,50,27,53,72,46,33,7,6,10,4,15.5,33.2,62.1,1858.1,727.1,48.4,51.4,23.6,50.4,13.8,53.1,33.4,37.8,25.7,5.7,6.4,7.3,3.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
500,30,5,1,4096,1,1,1,26.1,-1.02,-0.04,-0.16,0.8,0.1,0.4,0,0,16,7,2024,17,55,29,3,250,15,32,39,521,3726,85,84,46,50,33,52,86,45,33,8,7,11,4,12.2,31.2,36.7,471.8,2801.5,60.5,54.0,28.5,50.4,16.9,52.1,39.9,37.0,25.7,6.5,7.5,8.0,3.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
510,30,5,1,4096,1,1,1,26.1,-1.02,-0.02,-0.19,0.4,0.1,0.5,0,0,16,7,2024,17,55,49,3,190,10,43,22,49,3739,399,77,37,38,24,40,76,35,25,7,6,4,4,8.2,42.0,20.7,44.4,2811.3,284.0,49.5,22.9,38.3,12.3,40.1,35.3,28.8,19.5,5.7,6.4,2.9,3.9,33,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
520,30,5,1,4096,1,1,1,26.2,-1.03,-0.03,-0.18,0.8,0.2,0.6,0,0,16,7,2024,17,56,9,3,255,10,45,37,23,2322,3198,183,55,51,31,54,93,47,34,9,8,10,5,8.2,43.9,34.8,20.8,1745.9,2276.3,117.6,34.1,51.4,15.8,54.1,43.2,38.7,26.5,7.4,8.5,7.3,4.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
530,30,5,1,4096,1,1,1,26.2,-1.03,-0.02,-0.18,0.5,0.3,0.4,0,0,16,7,2024,17,56,39,3,143,5,17,15,14,206,3819,295,42,29,17,30,49,26,19,5,4,11,1,4.1,16.6,14.1,12.7,154.9,2718.3,189.6,26.0,29.2,8.7,30.1,22.7,21.4,14.8,4.1,4.3,8.0,1.0,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
540,30,5,1,4096,1,1,1,26.2,-1.03,-0.02,-0.18,0.4,0.2,0.7,0,0,16,7,2024,17,56,59,3,167,6,19,21,19,47,3731,1789,72,33,23,35,62,30,21,5,4,14,2,4.9,18.6,19.7,17.2,35.3,2655.7,1149.9,44.6,33.3,11.8,35.1,28.8,24.7,16.3,4.1,4.3,10.2,1.9,35,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
550,30,5,1,4096,1,1,1,26.2,-1.03,-0.01,-0.18,0.3,0.3,0.7,0,0,16,7,2024,17,57,19,3,138,12,11,20,11,31,793,3827,112,27,20,29,51,25,18,4,3,9,5,9.8,10.7,18.8,10.0,23.3,564.4,2459.9,69.4,27.2,10.2,29.1,23.7,20.6,14.0,3.3,3.2,6.6,4.9,31,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
560,30,5,1,4096,1,1,1,26.2,-1.03,-0.02,-0.19,0.3,0.2,0.5,0,0,16,7,2024,17,57,39,3,154,14,25,19,19,26,94,3722,505,32,22,33,57,28,21,6,4,10,7,11.4,24.4,17.9,17.2,19.5,66.9,2392.4,313.1,32.3,11.2,33.1,26.5,23.0,16.3,4.9,4.3,7.3,6.8,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
570,30,5,1,4096,1,1,1,26.3,-1.02,-0.03,-0.17,0.6,0.1,0.4,0,0,16,7,2024,17,57,59,3,255,14,32,32,38,38,75,1981,3132,64,36,61,109,50,48,27,22,6,5,11.4,31.2,30.1,34.4,28.6,53.4,1273.3,1942.0,64.5,18.4,61.1,50.6,41.1,37.4,22.1,23.4,4.4,4.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
580,30,5,1,4096,1,1,1,26.3,-1.02,-0.03,-0.18,0.5,0.3,0.5,0,0,16,7,2024,17,58,29,3,190,14,17,21,20,28,48,201,3858,83,36,57,70,50,81,100,54,7,3,11.4,16.6,19.7,18.1,21.1,34.2,129.2,2392.1,83.7,18.4,57.1,32.5,41.1,63.0,81.8,57.5,5.1,2.9,33,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
590,30,5,1,4096,1,1,1,26.3,-1.02,-0.04,-0.17,0.7,0.0,0.4,0,0,16,7,2024,17,58,49,3,255,25,35,34,23,46,60,80,2992,276,47,78,94,75,59,163,46,15,9,20.4,34.2,32.0,20.8,34.6,42.7,51.4,1855.2,278.4,24.0,78.2,43.6,61.7,45.9,133.3,49.0,11.0,8.8,28,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
600,30,5,1,4096,1,1,1,26.3,-1.03,-0.01,-0.18,0.6,0.2,0.6,0,0,16,7,2024,17,59,9,3,211,20,51,31,21,56,58,64,441,3885,54,60,80,62,70,92,32,14,5,16.3,49.8,29.1,19.0,42.1,41.3,41.1,273.4,3918.1,27.6,60.1,37.1,51.0,54.5,75.3,34.1,10.2,4.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
610,30,5,1,4096,1,1,1,26.3,-1.03,-0.02,-0.19,0.6,0.1,0.4,0,0,16,7,2024,17,59,29,3,118,14,26,25,17,27,36,42,43,3776,66,33,43,34,29,39,32,12,5,11.4,25.4,23.5,15.4,20.3,25.6,27.0,26.7,3808.2,33.7,33.1,20.0,28.0,22.6,31.9,34.1,8.8,4.9,28,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
620,30,5,1,4096,1,1,1,26.3,-1.03,-0.05,-0.17,0.7,-0.1,0.3,0,0,16,7,2024,17,59,49,3,182,9,35,73,14,46,54,70,43,3750,389,56,72,51,44,109,28,4,4,7.3,34.2,68.6,12.7,34.6,38.4,45.0,26.7,3782.0,198.8,56.1,33.4,42.0,34.2,89.2,29.8,2.9,3.9,35,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
630,30,5,1,4096,1,1,1,26.3,-1.04,-0.02,-0.19,0.4,0.2,0.8,0,0,16,7,2024,18,0,9,3,255,16,35,46,20,61,65,106,56,426,1849,98,105,69,60,183,37,8,12,13.1,34.2,43.2,18.1,45.9,46.3,68.1,34.7,429.6,944.9,98.2,48.7,56.8,46.7,149.7,39.4,5.8,11.7,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
640,30,5,1,4096,1,1,1,26.4,-1.03,-0.02,-0.18,0.6,0.0,0.5,0,0,16,7,2024,18,0,29,3,255,24,53,58,20,54,61,88,66,88,2838,95,130,73,53,71,114,21,6,19.6,51.8,54.5,18.1,40.6,43.4,56.6,40.9,88.7,1450.3,95.2,60.3,60.1,41.2,58.1,121.4,15.3,5.8,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
650,30,5,1,4096,1,1,1,26.4,-1.02,-0.05,-0.17,0.7,-0.0,0.3,0,0,16,7,2024,18,0,49,3,255,17,48,53,27,57,76,91,54,79,1595,128,125,67,53,33,125,20,5,13.9,46.9,49.8,24.4,42.9,54.1,58.5,33.5,79.7,815.1,128.2,58.0,55.1,41.2,27.0,133.1,14.6,4.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
660,30,5,1,4096,1,1,1,26.4,-1.03,-0.02,-0.18,0.3,0.3,0.6,0,0,16,7,2024,18,1,9,3,255,14,24,43,29,46,77,67,51,75,310,491,190,67,52,26,126,24,9,11.4,23.4,40.4,26.3,34.6,54.8,43.1,31.6,75.6,158.4,492.0,88.2,55.1,40.5,21.3,134.1,17.5,8.8,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
670,30,5,1,4096,1,1,1,26.4,-1.02,-0.04,-0.17,0.8,0.1,0.2,0,0,16,7,2024,18,1,29,3,255,14,20,43,21,44,57,63,51,65,52,3201,510,69,51,25,67,17,9,11.4,19.5,40.4,19.0,33.1,40.6,40.5,31.6,65.6,26.6,3207.2,236.7,56.8,39.7,20.5,71.3,12.4,8.8,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
680,30,5,1,4096,1,1,1,26.4,-1.02,-0.04,-0.17,0.8,0.2,0.6,0,0,16,7,2024,18,1,49,3,167,11,14,40,15,36,46,47,32,40,22,3915,1278,51,38,17,48,6,7,9.0,13.7,37.6,13.6,27.1,32.7,30.2,19.8,40.3,11.2,3922.6,593.1,42.0,29.6,13.9,51.1,4.4,6.8,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
690,30,5,1,4096,1,1,1,26.4,-1.02,-0.01,-0.18,0.4,0.0,0.4,0,0,16,7,2024,18,2,9,3,182,13,19,35,15,37,41,54,38,43,23,3031,3772,70,72,20,76,5,15,10.6,18.6,32.9,13.6,27.8,29.2,34.7,23.6,43.4,11.8,3036.9,1750.6,57.6,56.0,16.4,80.9,3.7,14.6,27,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
700,30,5,1,4096,1,1,1,26.4,-1.03,-0.01,-0.19,0.4,0.3,0.6,0,0,16,7,2024,18,2,29,3,174,13,16,24,15,49,47,42,29,51,23,374,3769,114,44,19,27,4,11,10.6,15.6,22.6,13.6,36.8,33.5,27.0,18.0,51.4,11.8,374.7,1749.2,93.8,34.2,15.5,28.7,2.9,10.7,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
710,30,5,1,4096,1,1,1,26.4,-1.03,-0.04,-0.17,0.8,0.0,0.5,0,0,16,7,2024,18,2,49,3,255,17,19,38,19,47,67,60,41,67,31,94,2259,681,66,33,41,6,10,13.9,18.6,35.7,17.2,35.3,47.7,38.6,25.4,67.6,15.8,94.2,1048.4,560.2,51.4,27.0,43.6,4.4,9.7,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
720,30,5,1,4096,1,1,1,26.4,-1.03,-0.01,-0.18,0.5,0.3,0.8,0,0,16,7,2024,18,3,9,3,255,17,18,58,24,34,57,70,42,58,29,69,473,2835,80,69,52,5,7,13.9,17.6,54.5,21.7,25.6,40.6,45.0,26.0,58.5,14.8,69.1,219.5,2332.3,62.3,56.4,55.4,3.7,6.8,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
730,30,5,1,4096,1,1,1,26.5,-1.03,-0.01,-0.18,0.5,0.2,0.5,0,0,16,7,2024,18,3,29,3,255,13,27,42,18,40,57,75,38,68,30,62,104,3580,122,82,29,5,5,10.6,26.4,39.5,16.3,30.1,40.6,48.2,23.6,68.6,15.3,62.1,48.3,2945.2,94.9,67.1,30.9,3.7,4.9,28,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
740,30,5,1,4096,1,1,1,26.4,-1.03,-0.01,-0.18,0.4,-0.1,0.7,0,0,16,7,2024,18,3,49,3,255,11,31,27,14,39,51,67,38,76,26,56,81,1888,356,38,24,5,5,9.0,30.3,25.4,12.7,29.3,36.3,43.1,23.6,76.6,13.3,56.1,37.6,1553.2,277.0,31.1,25.6,3.7,4.9,30,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
750,30,5,1,4096,1,1,1,26.5,-1.03,-0.0,-0.18,0.4,0.2,0.5,0,0,16,7,2024,18,4,9,3,255,14,22,28,18,39,54,59,41,59,25,55,75,284,1454,42,47,8,4,11.4,21.5,26.3,16.3,29.3,38.4,37.9,25.4,59.5,12.8,55.1,34.8,233.6,1131.5,34.4,50.0,5.8,3.9,28,28,28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
760,30,5,1,4096,1,1,1,26.5,-1.03,-0.03,-0.18,0.3,0.2,0.6,0,0,16,7,2024,18,4,29,3,255,17,25,25,19,37,53,53,39,65,26,54,77,101,2833,58,43,12,4,13.9,24.4,23.5,17.2,27.8,37.7,34.1,24.2,65.6,13.3,54.1,35.7,83.1,2204.6,47.4,45.8,8.8,3.9,28,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
770,30,5,1,4096,1,1,1,26.5,-1.02,-0.05,-0.17,0.7,0.1,0.3,0,0,16,7,2024,18,4,49,3,255,11,19,22,14,29,41,45,35,57,25,53,73,70,1658,55,11,5,5,9.0,18.6,20.7,12.7,21.8,29.2,28.9,21.7,57.5,12.8,53.1,33.9,57.6,1290.2,45.0,11.7,3.7,4.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
780,30,5,1,4096,1,1,1,26.5,-1.02,-0.04,-0.17,0.9,0.1,0.3,0,0,16,7,2024,18,5,9,3,255,8,15,18,12,26,40,42,30,50,22,52,68,56,265,42,6,3,4,6.5,14.6,16.9,10.9,19.5,28.5,27.0,18.6,50.4,11.2,52.1,31.6,46.1,206.2,34.4,6.4,2.2,3.9,29,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
